solution_id,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pm,pmra,pmra_error,pmdec,pmdec_error,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,target_id,target_ra,target_dec,target_parallax,target_pm_ra,target_pm_dec,target_radial_velocity,epoch,target_separation (deg)
1636148068921376768,2927291241843843968,100.80184948482656,0.20778319,-20.05738531756248,0.29005918,1.390322689432978,0.39462268,6.0372505,4.368925548356913,0.24122208,4.166639458487757,0.3487576,19.956455,21.300764,18.736336,NGC 2287,101.51291667,-20.71861111,1.36,-4.339,-1.381,23.37,2000,0.9388537107388567
1636148068921376768,2926162185135842560,102.0820375383179,0.41390005,-21.495873665139047,0.5603631,1.379450646902098,0.8495759,7.3936915,-2.635558385257376,0.46032304,6.908002975713548,0.700758,20.531912,21.251959,19.420567,NGC 2287,101.51291667,-20.71861111,1.36,-4.339,-1.381,23.37,2000,0.9412948226156548
1636148068921376768,2927324433350215680,101.15144612111895,0.9851192,-19.840172201198556,1.6907259,1.4057073481054503,1.5530936,2.3689916,0.2456080165889719,1.3182939,2.356225455387261,2.095357,20.85495,21.477108,20.008663,NGC 2287,101.51291667,-20.71861111,1.36,-4.339,-1.381,23.37,2000,0.9416018103330959
1636148068921376768,2927313300795041920,101.24547225204024,0.1263926,-19.810828539450384,0.1797792,1.3576777648852378,0.21820962,5.3444343,1.8575400442424697,0.17602232,-5.011239553958685,0.24659353,18.89881,20.057695,17.816761,NGC 2287,101.51291667,-20.71861111,1.36,-4.339,-1.381,23.37,2000,0.941814566940406
1636148068921376768,2932987678440802304,102.49469090339628,0.48011494,-20.511966225446255,0.59636,1.399921043273407,0.6892587,11.824865,-4.993619018166657,0.7394608,-10.7187319429821,0.8678329,20.32577,21.216362,19.306925,NGC 2287,101.51291667,-20.71861111,1.36,-4.339,-1.381,23.37,2000,0.9418737450000843
1636148068921376768,2933060108777985024,102.28001963772573,0.16008668,-20.109657634401565,0.23669145,1.4051673329448986,0.26357907,15.743436,-11.456093926408936,0.21206291,10.798782057834813,0.3108253,19.105097,20.155636,18.077805,NGC 2287,101.51291667,-20.71861111,1.36,-4.339,-1.381,23.37,2000,0.9421815475267924
1636148068921376768,2933046880273837440,102.35043971668559,0.41477284,-20.196794522062266,0.5635332,1.3896611448308005,0.6929643,4.1779017,-1.688450114866459,0.5066779,3.8215178602379822,0.69525605,20.534836,21.264858,19.654268,NGC 2287,101.51291667,-20.71861111,1.36,-4.339,-1.381,23.37,2000,0.9423785405267505
1636148068921376768,2927324918686313600,101.20414852331473,0.016374528,-19.821644164478542,0.022441583,1.4074881484017063,0.027666723,5.9539304,-5.676936674789605,0.024153164,-1.7949029699849062,0.03350574,15.251978,15.720079,14.625416,NGC 2287,101.51291667,-20.71861111,1.36,-4.339,-1.381,23.37,2000,0.942571957309536
1636148068921376768,2927084812831039744,100.56058710681751,0.38456908,-21.032310032655317,0.58013874,1.3962429667251277,0.7958792,1.8232628,0.14514804441708717,0.39332548,1.8174760719516583,0.62052447,20.56818,20.968252,19.881208,NGC 2287,101.51291667,-20.71861111,1.36,-4.339,-1.381,23.37,2000,0.9434702644154324
1636148068921376768,2933273414032188416,101.75841595670225,0.029441046,-19.803676276237336,0.037621766,1.3506943413822414,0.051856935,5.050023,-3.899901572407217,0.037977032,3.2083489466127544,0.047719233,16.742617,17.470282,15.908907,NGC 2287,101.51291667,-20.71861111,1.36,-4.339,-1.381,23.37,2000,0.9434863125259221
