,Unnamed: 0.1,Unnamed: 0,source_id,ra,dec,parallax,pmra,pmdec,ruwe,phot_g_mean_mag,bp_rp,radial_velocity,ra_error,dec_error,pmra_error,pmdec_error,parallax_error,visibility_periods_used,phot_bp_mean_mag,phot_rp_mean_mag,nu_eff_used_in_astrometry,pseudocolour,ecl_lat,astrometric_params_solved,zp,fidelity_v2,parallax_,relative_error,cell_id,distance,cluster_id
62013,65822,65822,1503802637425316864,207.08450430321884,46.1625639495681,10.622536019031266,21.967112987276465,-11.493015467205442,1.0190254,19.98186,1.2312527,,0.25266224,0.28432277,0.31063467,0.34426,0.37092194,30,20.550825,19.319572,,1.4864972,51.92704712066092,95,-0.024068,1.0,0.0106225360190312,0.034918397954637,39,94.1394783890036,39_001
62186,65996,65996,1505107762024006144,213.9216021004091,45.12244081905348,11.180825709444262,-18.323253166642253,-5.051310220419888,1.7046808,14.590457,2.8217077,-6.28721,0.02051192,0.02254946,0.02506923,0.027198091,0.029710677,28,16.185232,13.363524,1.2555567,,53.78177859425723,31,-0.045958,1.0,0.0111808257094442,0.0026572882694078,39,89.43883269330652,39_001
62196,66006,66006,1508133755461990528,213.22109323587043,49.45942344746109,10.339532795690838,-16.983489299220686,-3.630016118633181,1.2030065,14.964291,2.6180286,-2.399933,0.017534344,0.01938404,0.022192355,0.02401481,0.022586081,29,16.40417,13.78614,1.2742894,,57.02295413508356,31,-0.041657,1.0,0.0103395327956908,0.0021844392243151,39,96.71616887919436,39_001
62210,66020,66020,1503881256802779776,206.62558584812243,46.69202815518255,10.188750698008704,-23.306935525344752,1.3267460120921948,1.0376927,15.361605,2.5521183,-8.36854,0.016051782,0.021452382,0.020025339,0.028823342,0.024368832,29,16.75558,14.203463,1.2823652,,52.17690496788085,31,-0.041605,1.0,0.0101887506980087,0.0023917389601811,39,98.14745984465408,39_001
62378,66191,66191,1509561299512624000,210.1965966579695,47.66529875134815,10.89368056844842,-17.79665576026391,-5.6571731679563,1.0670073,13.248553,1.998436,-3.9499686,0.007951622,0.009376022,0.009370526,0.010913026,0.010824572,30,14.25138,12.252944,1.344933,,54.3864474017681,31,-0.034391,1.0,0.0108936805684484,0.0009936560863874,39,91.79633951231519,39_001
62384,66197,66197,1511697238288242944,214.34565866767136,50.94848723336777,10.511224448781538,-16.96467889075362,-4.04140751597693,1.071689,14.979333,2.6362686,-5.024704,0.016515078,0.017959371,0.020206735,0.02325046,0.021017466,27,16.436193,13.799925,1.2723392,,58.63695842254724,31,-0.041568,1.0,0.0105112244487815,0.0019995259450897,39,95.1363948960222,39_001
62387,66200,66200,1512059080693107712,212.78627063407487,52.371314045835966,10.63850300833582,-20.007567593217992,-24.597494689933185,1.0418177,15.686528,2.7052708,-21.299757,0.023489788,0.024628388,0.029109135,0.029708613,0.028604342,29,17.195175,14.489904,1.2652892,,59.10852779892857,31,-0.042554,1.0,0.0106385030083358,0.0026887563012941,39,93.99818745329583,39_001
62388,66201,66201,1512483182943848832,208.64687597095363,51.66921158607837,11.179269816660732,-18.58265418783684,-4.82282816791252,1.0831475,16.894852,3.5318785,,0.042938534,0.051272664,0.0490331,0.06631928,0.058963846,29,19.077442,15.545564,1.2053372,,56.92783101622938,31,-0.054124,1.0,0.0111792698166607,0.0052743915270856,39,89.45128048610823,39_001
62413,66226,66226,1508309780402108544,215.65892102514923,49.45061716508771,10.19634941447455,-15.191385460640902,-2.397662853875615,1.1204798,19.412073,,,1.0865186,0.39433542,1.1492096,0.4848794,0.4955447,14,,,,1.123712,57.98355836170465,95,-0.034028,0.035583496,0.0101963494144745,0.0486002077661769,39,98.0743165372916,39_001
62585,66401,66401,1511749465090453632,213.1694863987198,51.09451251015557,10.488411973786,-17.275363469912698,-3.142849116656361,1.1556817,15.48652,2.839613,-7.7310877,0.022386117,0.023220196,0.026189819,0.02850705,0.027141895,30,17.098444,14.258831,1.2537048,,58.28236718944401,31,-0.044993,1.0,0.010488411973786,0.0025877983309424,39,95.34331817813124,39_001
62765,66583,66583,1506907696918058496,215.51019423566885,47.14225028638814,10.232192187397214,-28.30454833282189,12.572222676780363,2.3969946,15.151479,2.8387852,-13.699102,0.039313965,0.040407587,0.047811266,0.050709903,0.050821155,30,16.76261,13.923824,1.2541326,,56.068930128758645,31,-0.045537,1.0,0.0102321921873972,0.0049667905048338,39,97.73076792201786,39_001
