5260.86564 14.473 0.005
5261.80049 14.515 0.005
5262.83892 14.563 0.005
5264.82358 14.639 0.005
5264.87667 14.635 0.005
5264.89396 14.635 0.005
5265.79959 14.671 0.005
5266.78766 14.707 0.005
5267.82947 14.743 0.005
5268.80072 14.777 0.005
5269.79560 14.798 0.005
5270.83998 14.792 0.005
5271.79505 14.818 0.005
5272.80188 14.844 0.005
5274.80524 14.864 0.005
5275.79097 14.848 0.005
5276.82588 14.852 0.005
5277.79203 14.855 0.005
5278.80206 14.847 0.005
5279.80331 14.834 0.005
5280.85489 14.801 0.005
5281.78982 14.800 0.005
5282.77033 14.784 0.005
5282.91517 14.769 0.005
5283.77146 14.748 0.005
5284.77349 14.724 0.005
5285.76916 14.707 0.005
5285.89858 14.705 0.005
5286.76036 14.672 0.005
5287.82998 14.626 0.005
5288.76334 14.596 0.005
5292.83350 14.410 0.005
5293.84143 14.361 0.005
5294.74768 14.318 0.005
5294.78506 14.316 0.005
5294.82228 14.315 0.005
5294.85235 14.311 0.005
5294.89264 14.308 0.005
5295.74866 14.262 0.005
5295.78703 14.261 0.005
5295.82547 14.263 0.005
5295.86340 14.262 0.005
5295.90300 14.255 0.005
5296.79292 14.220 0.005
5296.82737 14.215 0.005
5296.86478 14.214 0.005
5296.90490 14.204 0.005
5297.78604 14.162 0.005
5297.82407 14.169 0.005
5297.86186 14.167 0.005
5297.90097 14.161 0.005
5298.78694 14.116 0.005
5298.82479 14.111 0.005
5298.86272 14.119 0.005
5298.90221 14.113 0.005
5376.63221 13.433 0.005
5376.67234 13.435 0.005
5376.71208 13.441 0.005
5376.75034 13.436 0.005
5376.78860 13.443 0.005
5376.82680 13.439 0.005
5376.86477 13.436 0.005
5377.52078 13.470 0.005
5377.57531 13.477 0.005
5377.60412 13.478 0.005
5377.65052 13.482 0.005
5377.67144 13.475 0.005
5377.71614 13.475 0.005
5377.75923 13.482 0.005
5377.80195 13.475 0.005
5377.84013 13.475 0.005
5378.49444 13.508 0.005
5378.57704 13.526 0.005
5378.66361 13.531 0.005
5378.73560 13.544 0.005
5378.77365 13.533 0.005
5379.49096 13.550 0.005
5379.52890 13.554 0.005
5379.61360 13.551 0.005
5379.70054 13.569 0.005
5379.75697 13.568 0.005
5380.50240 13.574 0.005
5380.54027 13.582 0.005
5380.59599 13.590 0.005
5380.68282 13.594 0.005
5380.73613 13.590 0.005
5380.77413 13.595 0.005
5380.81223 13.602 0.005
5380.85026 13.607 0.005
5381.54976 13.625 0.005
5381.58725 13.646 0.005
5381.64603 13.647 0.005
5381.68726 13.631 0.005
5381.72526 13.643 0.005
5381.76353 13.643 0.005
5381.81033 13.649 0.005
5381.84847 13.647 0.005
5382.53849 13.678 0.005
5382.58289 13.680 0.005
5382.62580 13.675 0.005
5382.66713 13.675 0.005
5382.70711 13.677 0.005
5382.74514 13.677 0.005
5382.78991 13.675 0.005
5382.83369 13.684 0.005
5384.77498 13.769 0.005
5384.81310 13.776 0.005
5385.48445 13.809 0.005
5385.56626 13.830 0.005
5386.46980 13.859 0.005
5386.49966 13.874 0.005
5386.58178 13.858 0.005
5387.54071 13.908 0.005
5388.48027 13.944 0.005
5388.51817 13.943 0.005
5388.60536 13.946 0.005
5389.46888 13.988 0.005
5389.50776 13.987 0.005
5389.54625 13.985 0.005
5389.65357 13.993 0.005
5390.54103 14.023 0.005
5390.58674 14.029 0.005
5390.67245 14.030 0.005
5390.72214 14.025 0.005
5390.76042 14.028 0.005
5390.79822 14.032 0.005
5391.47317 14.071 0.005
5391.53228 14.066 0.005
5391.56961 14.074 0.005
5391.65315 14.073 0.005
5391.76027 14.077 0.005
5391.82192 14.072 0.005
5392.46931 14.105 0.005
5392.50714 14.106 0.005
5392.54614 14.107 0.005
5392.63056 14.110 0.005
5392.73967 14.116 0.005
5392.79939 14.113 0.005
5392.83693 14.112 0.005
5393.65399 14.158 0.005
5393.69241 14.156 0.005
5393.73035 14.159 0.005
5393.77586 14.157 0.005
5393.81374 14.153 0.005
5395.81798 14.232 0.005
5396.53765 14.262 0.005
5396.61285 14.259 0.005
5396.67515 14.263 0.005
5396.70973 14.267 0.005
5396.78232 14.266 0.005
5397.58751 14.292 0.005
5397.63734 14.300 0.005
5397.67555 14.297 0.005
5397.71700 14.293 0.005
5402.65216 14.483 0.005
5402.68203 14.471 0.005
5403.49505 14.506 0.005
5403.53222 14.508 0.005
5403.56974 14.504 0.005
5403.61022 14.509 0.005
5403.64957 14.502 0.005
5403.68764 14.511 0.005
5403.72859 14.511 0.005
5403.76639 14.511 0.005
5404.47031 14.536 0.005
5404.50823 14.540 0.005
5404.54602 14.533 0.005
5404.58383 14.535 0.005
5404.62701 14.535 0.005
5404.66644 14.545 0.005
5404.70536 14.539 0.005
5404.74487 14.541 0.005
5404.78865 14.540 0.005
5405.64334 14.577 0.005
5405.68320 14.581 0.005
5405.72104 14.580 0.005
5405.75862 14.582 0.005
5405.79620 14.582 0.005
5407.49781 14.650 0.005
5407.53584 14.649 0.005
5407.57414 14.638 0.005
5407.61479 14.647 0.005
5407.65300 14.650 0.005
5407.69201 14.657 0.005
5407.73009 14.650 0.005
5407.76805 14.653 0.005
5408.53184 14.688 0.005
5408.57918 14.692 0.005
5408.61946 14.691 0.005
5408.65723 14.698 0.005
5408.69595 14.688 0.005
5408.73387 14.697 0.005
5408.77154 14.694 0.005
5409.48178 14.725 0.005
5409.52303 14.730 0.005
5409.62889 14.732 0.005
5409.73591 14.728 0.005
5409.77367 14.730 0.005
5410.48598 14.747 0.005
5410.52412 14.752 0.005
5410.63242 14.754 0.005
5410.73959 14.752 0.005
5410.77805 14.750 0.005
5411.50057 14.778 0.005
5411.56091 14.774 0.005
5411.66913 14.774 0.005
5411.75309 14.787 0.005
5412.51319 14.798 0.005
5412.55267 14.802 0.005
5412.59289 14.806 0.005
5412.63130 14.803 0.005
5412.67457 14.808 0.005
5412.73540 14.803 0.005
5413.49430 14.821 0.005
5413.55499 14.824 0.005
5413.66204 14.820 0.005
5413.74649 14.818 0.005
5414.47471 14.833 0.005
5414.51246 14.830 0.005
5414.59768 14.822 0.005
5414.70937 14.825 0.005
5414.76956 14.823 0.005
5416.63226 14.856 0.005
5416.68738 14.850 0.005
5418.54944 14.861 0.005
5418.59953 14.860 0.005
5418.64967 14.859 0.005
5418.69907 14.851 0.005
5421.50767 14.862 0.005
5421.55129 14.867 0.005
5421.56737 14.859 0.005
5421.61211 14.873 0.005
5421.65506 14.860 0.005
5421.69747 14.855 0.005
5422.49167 14.847 0.005
5422.53238 14.846 0.005
5422.63092 14.861 0.005
5422.75872 14.835 0.005
5423.51498 14.824 0.005
5423.58661 14.832 0.005
5423.69447 14.807 0.006
5425.52333 14.787 0.005
5426.49093 14.760 0.005
5426.52943 14.776 0.005
5426.64439 14.758 0.006
5430.47670 14.589 0.005
5430.51544 14.597 0.005
5430.56154 14.599 0.005
5430.59958 14.589 0.005
5430.63863 14.591 0.005
5431.47762 14.555 0.005
5431.51634 14.552 0.005
5431.55664 14.556 0.005
5431.59437 14.548 0.005
5431.63586 14.545 0.005
5431.67502 14.544 0.005
5432.55851 14.495 0.005
5432.65300 14.489 0.005
5433.63138 14.432 0.005
5433.67690 14.428 0.005
5434.50815 14.387 0.005
5434.55286 14.381 0.005
5434.59132 14.386 0.005
5434.63849 14.379 0.005
5434.68093 14.380 0.005
5435.47983 14.334 0.005
5435.51981 14.334 0.005
5435.56496 14.323 0.005
5435.63582 14.331 0.005
5435.68405 14.323 0.005
5436.47777 14.285 0.005
5436.54484 14.279 0.005
5436.66206 14.274 0.005
5437.50096 14.227 0.005
5437.62398 14.230 0.005
5438.51288 14.181 0.005
5438.57749 14.183 0.005
5438.65302 14.173 0.005
5438.69062 14.163 0.005
5439.52260 14.131 0.005
5439.56892 14.130 0.005
5439.60641 14.124 0.005
