0.000000 1.014867
0.020813 1.017331
0.041626 1.021835
0.062500 1.023046
0.083313 1.028071
0.125000 1.033370
0.145813 1.035363
0.166626 1.037846
0.187500 1.037580
0.208313 1.036900
0.229126 1.037456
0.250000 1.040225
0.270813 1.038725
0.291626 1.038376
0.312500 1.039733
0.333313 1.038190
0.354126 1.037285
0.375000 1.035581
0.395813 1.036077
0.416626 1.033524
0.437500 1.029777
0.458313 1.024939
0.479126 1.021144
0.500000 1.016162
0.520813 1.013678
0.541626 1.007818
0.562500 1.004079
0.583313 0.999894
0.604126 0.994500
0.625000 0.991584
0.645813 0.985733
0.666626 0.981336
0.687500 0.976871
0.708313 0.972002
0.729126 0.967676
0.750000 0.964123
0.770813 0.962132
0.791626 0.958710
0.812500 0.956297
0.833374 0.952677
0.854187 0.950431
0.875000 0.947787
0.895874 0.944841
0.916687 0.941898
0.937500 0.938374
0.958374 0.935596
0.979187 0.932513
1.000000 0.929234
1.020874 0.928615
1.041687 0.925866
1.062500 0.925305
1.083374 0.923813
1.104187 0.922051
1.125000 0.919404
1.145874 0.916642
1.166687 0.915937
1.187500 0.914095
1.208374 0.912810
1.229187 0.911804
1.250000 0.909163
1.270874 0.908910
1.291687 0.908442
1.312500 0.908610
1.333374 0.909214
1.354187 0.906988
1.375000 0.906291
1.395874 0.909484
1.416687 0.909198
1.437500 0.909891
1.458374 0.911908
1.479187 0.913077
1.500000 0.915908
1.520874 0.917182
1.541687 0.919487
1.562500 0.922468
1.583374 0.926160
1.604187 0.929650
1.625000 0.933421
1.645874 0.937901
1.666687 0.938526
1.687500 0.940108
1.708374 0.944335
1.729187 0.948786
1.750000 0.995815
1.770874 0.973970
1.791687 0.966977
1.812500 0.967070
1.833374 0.969991
1.854187 0.972694
1.875000 0.976133
1.895874 0.980401
1.916687 0.982506
1.937500 0.987053
1.958374 0.990881
1.979187 0.995679
2.000000 0.998635
2.020874 1.003725
2.041687 1.006853
2.062500 1.013212
2.083374 1.014960
2.104187 1.020656
2.125000 1.024600
2.145874 1.027382
2.166687 1.031537
2.187500 1.034432
2.208374 1.038564
2.229187 1.040934
2.250000 1.043570
2.270874 1.048209
2.291687 1.047656
2.312500 1.048772
2.333374 1.048415
2.354187 1.048814
2.375000 1.045193
2.395874 1.044833
2.416687 1.041673
2.437500 1.039080
2.458374 1.037864
2.479187 1.032628
2.500000 1.028263
2.520874 1.024516
2.541687 1.022159
2.562500 1.016266
2.583374 1.011146
2.604187 1.007865
2.625000 1.004248
2.645874 1.001473
2.666687 1.002436
2.687500 0.997157
2.708374 0.991927
2.729187 0.985930
2.750000 0.980228
2.770874 0.978331
2.791687 0.974117
2.812500 0.970315
2.833374 0.967682
2.854187 0.964622
2.875000 0.959688
2.895874 0.958231
2.916687 0.955502
2.937500 0.954135
2.958374 0.953250
2.979187 0.951816
3.000000 0.951074
3.020874 0.950042
3.041687 0.948083
3.062500 0.948088
3.083374 0.948397
3.104187 0.943664
3.125000 0.944745
3.145874 0.941247
3.166687 0.939824
3.187500 0.938876
3.208374 0.940090
3.250000 0.938243
3.270874 0.937104
3.291687 0.937630
3.312500 0.933236
3.333374 0.930644
3.354187 0.929899
3.375000 0.928646
3.395874 0.926901
3.416687 0.929355
3.437500 0.929918
3.458313 0.931231
3.479126 0.930299
3.500000 0.931618
3.520813 0.932833
3.541626 0.934000
3.562500 0.936006
3.583313 0.934903
3.604126 0.938646
3.625000 0.938238
3.645813 0.940792
3.666626 0.943290
3.687500 0.944590
3.708313 0.947013
3.729126 0.949006
3.750000 0.951624
3.770813 0.955228
3.791626 0.957884
3.812500 0.967625
3.833313 0.968439
3.854126 0.968794
3.875000 0.968349
3.895813 0.971972
3.916626 0.975359
3.937500 0.978669
3.958313 0.981400
3.979126 0.984917
4.000000 0.986046
4.020813 0.988480
4.041626 0.993139
4.062500 0.998453
4.083313 1.002758
4.104126 1.005450
4.125000 1.010833
4.145813 1.015147
4.166626 1.021316
4.187500 1.022453
4.208313 1.028743
4.229126 1.032225
4.250000 1.036085
4.270813 1.038615
4.291626 1.041295
4.312500 1.042487
4.333313 1.044642
4.354126 1.043929
4.375000 1.044535
4.395813 1.047290
4.416626 1.046262
4.437500 1.049593
4.458313 1.049266
4.479126 1.048040
4.500000 1.040866
4.520813 1.039682
4.541626 1.036945
