5261.68161 15.094 0.005
5262.67510 15.186 0.005
5264.64570 15.113 0.005
5265.64368 15.141 0.005
5266.63740 15.115 0.005
5268.50601 15.148 0.005
5269.60088 15.116 0.005
5270.60319 15.117 0.005
5271.61037 15.126 0.005
5273.59864 15.131 0.005
5275.59813 15.135 0.005
5276.60924 15.136 0.005
5280.56570 15.101 0.005
5281.58753 15.109 0.005
5282.59246 15.083 0.005
5284.58076 15.142 0.005
5286.58064 15.143 0.005
5290.51485 15.125 0.005
5293.50808 15.128 0.005
5295.53688 15.126 0.005
5297.55981 15.126 0.005
5298.58940 15.172 0.005
5299.54218 15.130 0.005
5301.56597 15.123 0.005
5305.52677 15.093 0.005
5307.56015 15.100 0.005
5309.51108 15.152 0.005
5313.53864 15.103 0.005
5315.51941 15.091 0.005
5322.51598 15.121 0.005
5323.50534 15.102 0.005
5325.50044 15.121 0.005
5327.52294 15.101 0.005
5337.49973 15.122 0.005
5341.51483 15.103 0.005
5436.87413 15.112 0.005
5443.88777 15.096 0.005
5448.88721 15.119 0.005
5451.86225 15.124 0.005
5455.89112 15.123 0.005
5457.80607 15.082 0.005
5459.90220 15.117 0.005
5462.85898 15.084 0.005
5465.90357 15.083 0.005
5467.88630 15.115 0.005
5468.89016 15.083 0.005
5470.85010 15.081 0.005
5471.89775 15.116 0.005
5473.83263 15.077 0.005
5477.83585 15.139 0.005
5478.85753 15.109 0.005
5481.78159 15.114 0.005
5482.83546 15.102 0.005
5484.82703 15.093 0.005
5485.87807 15.126 0.005
5487.77763 15.103 0.005
5488.83418 15.117 0.005
5489.82249 15.137 0.005
5490.87368 15.084 0.005
5491.79259 15.138 0.005
5492.86570 15.101 0.005
5494.75667 15.115 0.005
5497.76170 15.106 0.005
5503.85889 15.065 0.005
5507.82550 15.124 0.005
5510.84124 15.107 0.005
5512.85974 15.099 0.005
5514.86236 15.094 0.005
5517.72418 15.067 0.005
5519.82040 15.070 0.005
5522.79722 15.071 0.005
5524.77233 15.090 0.005
5526.77596 15.104 0.005
5528.75422 15.059 0.005
5529.82834 15.111 0.005
5530.81265 15.070 0.005
5531.74034 15.074 0.005
5533.76935 15.064 0.005
5534.85132 15.106 0.005
5536.70212 15.050 0.005
5540.84645 15.121 0.005
5542.80222 15.164 0.005
5544.70959 15.081 0.005
5546.76444 15.088 0.005
5548.81560 15.112 0.005
5550.78447 15.093 0.005
5553.86037 15.097 0.006
5556.84400 15.093 0.005
5557.80535 15.074 0.005
5558.81546 15.087 0.005
5559.83244 15.099 0.005
5560.84471 15.073 0.005
5561.81774 15.095 0.005
5562.84334 15.084 0.005
5563.80364 15.090 0.005
5565.83104 15.066 0.005
5566.82290 15.114 0.005
5568.83992 15.055 0.005
5569.84914 15.127 0.005
5571.83056 15.089 0.005
5572.83406 15.100 0.005
5573.84363 15.075 0.005
5574.85973 15.058 0.005
5575.84248 15.104 0.005
5576.84461 15.064 0.005
5577.84130 15.092 0.005
5578.80138 15.125 0.005
5579.83521 15.070 0.005
5580.78200 15.116 0.005
5581.78404 15.093 0.005
5582.81351 15.062 0.005
5583.76532 15.110 0.005
5584.78053 15.071 0.005
5585.75311 15.071 0.005
5589.75414 15.145 0.005
5590.71733 15.065 0.005
5593.74667 15.087 0.005
5593.76438 15.093 0.005
5594.73302 15.097 0.005
5595.75460 15.058 0.005
5596.78493 15.115 0.005
5597.75412 15.119 0.005
5598.76366 15.070 0.005
5599.74380 15.118 0.005
5600.78087 15.085 0.005
5601.77540 15.071 0.005
5602.76211 15.123 0.005
5604.76655 15.123 0.005
5605.76991 15.117 0.005
5606.74903 15.054 0.005
5608.74868 15.108 0.005
5608.75137 15.106 0.005
5611.69800 15.104 0.005
5614.70173 15.080 0.005
5616.71872 15.118 0.005
5623.66887 15.061 0.005
5624.66872 15.120 0.005
5626.62609 15.091 0.005
5629.64613 15.132 0.005
5631.60481 15.055 0.005
5633.65467 15.052 0.005
5635.64555 15.071 0.005
5639.63015 15.037 0.005
5641.61798 15.065 0.005
5643.58155 15.131 0.005
5645.59039 15.087 0.005
5647.61394 15.057 0.005
5649.59615 15.090 0.005
5652.60114 15.071 0.005
5654.60162 15.101 0.005
5656.58862 15.089 0.005
5657.58950 15.083 0.005
5660.58852 15.054 0.005
5666.56935 15.040 0.005
5668.55415 15.107 0.005
5669.55383 15.075 0.005
5671.56730 15.063 0.005
5674.57320 15.064 0.005
5675.56512 15.082 0.005
5677.56480 15.064 0.005
