5276.53154 16.624 0.005
5293.60014 16.640 0.005
5447.90201 16.557 0.005
5458.88689 16.557 0.005
5473.87974 16.546 0.005
5484.84444 16.487 0.005
5488.81684 16.490 0.005
5515.82419 16.518 0.005
5556.82315 16.550 0.005
5587.67016 16.534 0.005
5617.70494 16.529 0.005
5693.53090 16.482 0.005
5837.83425 16.450 0.005
5864.81831 16.466 0.005
5875.86141 16.455 0.005
5881.85715 16.461 0.005
5891.81419 16.423 0.005
5897.80067 16.461 0.005
5900.77097 16.443 0.005
5924.85033 16.473 0.005
5932.84467 16.478 0.005
5946.72349 16.456 0.005
5956.78132 16.469 0.005
5962.75977 16.499 0.005
5970.69912 16.463 0.005
5974.72908 16.447 0.005
5986.70941 16.471 0.005
5999.69032 16.475 0.005
6023.60253 16.427 0.005
