ra,dec,parallax,ruwe,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,target_id,target_ra,target_dec,target_parallax,target_pm_ra,target_pm_dec,target_radial_velocity,epoch,target_separation (deg)
101.546657482567,-20.72431307062916,1.3723030773937552,1.0839936,13.311556,13.5741205,12.895854,NGC 2287,101.51292,-20.71861,1.36,-4.339,-1.381,23.37,2000,0.03208417128133
101.45390713820116,-20.702033364894508,1.3730730443055226,1.0343186,12.651921,12.8614855,12.304794,NGC 2287,101.51292,-20.71861,1.36,-4.339,-1.381,23.37,2000,0.05761806140567104
101.51185668075821,-20.660560389735497,1.3725199612533772,0.9726848,17.913712,19.001348,16.905819,NGC 2287,101.51292,-20.71861,1.36,-4.339,-1.381,23.37,2000,0.05806394228887405
101.56559901611877,-20.68332625449954,1.3778298359604917,0.9806366,12.896435,13.128835,12.520265,NGC 2287,101.51292,-20.71861,1.36,-4.339,-1.381,23.37,2000,0.06062667581827501
101.44227345519592,-20.740536908920717,1.3778621453231672,1.0360359,14.035318,14.359867,13.540606,NGC 2287,101.51292,-20.71861,1.36,-4.339,-1.381,23.37,2000,0.06959606426407816
101.49578248312108,-20.631285325341565,1.3775497530656091,1.0461142,13.009652,13.247047,12.628412,NGC 2287,101.51292,-20.71861,1.36,-4.339,-1.381,23.37,2000,0.0887870281710264
101.41802668159438,-20.714116820714526,1.3778430900536982,1.8625656,11.962729,12.09341,11.723429,NGC 2287,101.51292,-20.71861,1.36,-4.339,-1.381,23.37,2000,0.08885250869755455
101.42019897605,-20.693614839029824,1.3750256560964857,1.1926795,7.8132257,7.767091,7.8538866,NGC 2287,101.51292,-20.71861,1.36,-4.339,-1.381,23.37,2000,0.09024483249315737
101.61179509033552,-20.718900372813586,1.3749968667144337,1.0563904,15.619669,16.261534,14.840012,NGC 2287,101.51292,-20.71861,1.36,-4.339,-1.381,23.37,2000,0.09250038542430755
101.55551800736099,-20.624003550872292,1.3743069150810134,1.005474,20.510412,21.235687,19.367792,NGC 2287,101.51292,-20.71861,1.36,-4.339,-1.381,23.37,2000,0.1026720355595643
101.61883428539245,-20.755506385773145,1.374842966804149,0.9588155,14.982175,15.408319,14.38871,NGC 2287,101.51292,-20.71861,1.36,-4.339,-1.381,23.37,2000,0.1057172505534951
